aso_service,brand,capacity,category,color,currency,doors,drive,first_owner,fuel,generation,horse_power,mileage,model,not_crashed,origin,price,seats,source,transmission,type,url,used,year
,Opel,1.6,Osobowe,Biały,PLN,5,Na przednie koła,,Benzyna,J (2009-2015),180,201500,Astra,,,26000,5,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-ID6DGR4m.html#62ae6e5d25,Używane,2009
Tak,Opel,1.6,Osobowe,Czarny,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),110,69000,Astra,Tak,Polska,50900,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-gwarancja-producenta-110-koni-1-wl-salon-pl-fv-23-we570wv-ID6DB2vO.html#0ed6342181,Używane,2019
,Opel,1.6,Osobowe,Niebieski,PLN,3,Na przednie koła,,Benzyna,H (2004-2014),105,232000,Astra,Tak,,9900,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-h-1-6-bezwypadkowa-ID6DHuHd.html#62ae6e5d25,Używane,2005
,Opel,1.8,Osobowe,Czarny,PLN,5,Na przednie koła,,Benzyna+LPG,H (2004-2014),140,181608,Astra,,,14500,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-1-8-16v-gaz-klima-parktronic-podgrzewane-siedzienia-alu-ID6DJwuw.html#0ed6342181,Używane,2006
,Opel,1.6,Osobowe,Czarny,PLN,5,Na przednie koła,,Benzyna,J (2009-2015),115,59660,Astra,Tak,,28900,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-darmowa-dostawa-1-wlasciciel-hist-serwisowa-cosmo-klima-auto-ID6DL41p.html#0ed6342181,Używane,2010
,Opel,1.7,Osobowe,Czarny,PLN,5,Na przednie koła,,Diesel,J (2009-2015),110,196250,Astra,,,22500,5,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-opel-astra-j-1-7-td-2010-ID6Dvxkg.html#0ed6342181,Używane,2010
Tak,Opel,1.4,Osobowe,Beżowy,PLN,5,Na przednie koła,Tak,Benzyna,K (2015-),150,83543,Astra,Tak,Niemcy,44999,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-led-grzana-kier-i-fotele-czujniki-aktyw-temp-xenon-bezwypadkowy-ID6DBRIs.html#0ed6342181,Używane,2016
,Opel,1.8,Osobowe,Niebieski,PLN,5,Na przednie koła,,Benzyna,H (2004-2014),140,163000,Astra,Tak,,17900,5,Osoby prywatnej,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-opel-astra-1-8-140km-jeden-wlasciciel-ID6DL2QW.html#0ed6342181,Używane,2010
,Opel,1.6,Osobowe,Czarny,PLN,5,Na przednie koła,,Benzyna,J (2009-2015),180,92086,Astra,Tak,,33900,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-darmowa-dostawa-180km-xenon-skora-klima-auto-hist-serwis-ID6DL2eU.html#0ed6342181,Używane,2010
Tak,Opel,1.6,Osobowe,Niebieski,PLN,4,Na przednie koła,,Benzyna,J (2009-2015),116,140098,Astra,Tak,Polska,30000,5,Firmy,Manualna,Sedan,https://www.otomoto.pl/oferta/opel-astra-1-6-16v-salon-polska-serwis-aso-klima-tempomat-parktronic-ID6DK7W5.html#0ed6342181,Używane,2015
